epoch,train_loss,train_acc,val_loss,val_acc
1,1.7356441386032104,0.34846,1.436293634223938,0.4765
2,1.3112272296905518,0.52956,1.2299088737487793,0.5611
3,1.1114159818267821,0.6068,1.0391000997543336,0.638
4,1.0080920718765258,0.64578,1.1423357543945312,0.6027
5,0.9205904072380066,0.67786,1.0500969589233398,0.6368
6,0.862705797290802,0.69758,0.9293020017623901,0.671
7,0.8088303639221192,0.7165,0.8886528680801392,0.6971
8,0.7616903215789795,0.73452,0.8438784859657288,0.7118
9,0.7290071339416504,0.74608,0.8186887629508972,0.7155
10,0.7020981314468384,0.75654,0.7587783637046814,0.7393
11,0.6814328572463989,0.76298,0.6997609233856201,0.7595
12,0.6642724240875244,0.7689,0.7283010490417481,0.7503
13,0.6400222993278504,0.77714,0.7922970099925994,0.7245
14,0.6343674803733825,0.78034,0.685093074131012,0.765
15,0.6116001922607421,0.78692,0.762050106048584,0.7354
16,0.6132235447311402,0.78764,0.782775931930542,0.7333
17,0.6026004037094116,0.79138,0.7236182034492493,0.7492
18,0.5746253664207458,0.8009,0.7114704328536987,0.7549
19,0.5813971639251709,0.79866,0.7232995522499085,0.7558
20,0.5748518836021423,0.80078,0.7342641132354736,0.7532
21,0.5735249866104126,0.80132,0.6745044302940368,0.7674
22,0.5588898008918762,0.80448,0.7280134108543396,0.7519
23,0.5617315967941284,0.80512,0.6796860085487366,0.7727
24,0.5599227073287963,0.80648,0.7146361872673035,0.7525
25,0.5618774773311614,0.8044,0.6542049799442291,0.7791
26,0.5386621812820435,0.81284,0.7244996693611145,0.76
27,0.5427138340377807,0.81254,0.709691180229187,0.7569
28,0.54430780834198,0.8109,0.8459807174682618,0.7269
29,0.5331408039665222,0.81752,0.6841280722141266,0.767
30,0.5438180343437194,0.8113,0.7062252587795258,0.7574
31,0.5323816296195983,0.81464,0.6791297379493714,0.7685
32,0.5328428206634521,0.81498,0.6980126769065856,0.7571
33,0.5152006547164917,0.82126,0.6689672678470612,0.7691
34,0.5216856444931031,0.82116,0.6560955976486206,0.7746
35,0.528609540977478,0.817,0.6841934736251831,0.7653
36,0.5177884256362915,0.82164,0.6085155690193176,0.794
37,0.514071081829071,0.82346,0.6878942490577697,0.7661
38,0.5139208761024475,0.82064,0.6407393746376038,0.7818
39,0.5168355616950989,0.82016,0.6677929532051087,0.7742
40,0.5074852536392211,0.825,0.6190298525333404,0.7935
41,0.49993453107833863,0.8289,0.6175834522247314,0.7912
42,0.5060199909210205,0.8246,0.7063263492107391,0.7634
43,0.5032647038078308,0.8283,0.6149333225250244,0.7915
44,0.4987846147727966,0.82748,0.6696738394737244,0.7745
45,0.4825221612739563,0.83336,0.765610853099823,0.7447
46,0.5025087623500823,0.82714,0.6245163419246673,0.7927
47,0.50566583776474,0.82498,0.6221333392143249,0.7904
48,0.495554630279541,0.82932,0.6471775088310242,0.7783
49,0.4938718243980408,0.82956,0.6313078441619873,0.7909
50,0.47613075507164,0.83682,0.6686267809867859,0.7753
51,0.48976798458099363,0.83126,0.6669610690116883,0.774
52,0.4816463712024689,0.83422,0.6878294402599334,0.7669
53,0.49164867137908935,0.82996,0.7605966916084289,0.7426
54,0.48201106103897096,0.83374,0.6172568120956421,0.7962
55,0.4733531831264496,0.83606,0.6911484189033509,0.7646
56,0.48191256907463076,0.8346,0.6397591158390045,0.7882
57,0.4942504626083374,0.82962,0.6583696069717407,0.7791
58,0.48779722105979917,0.831,0.6596159116744995,0.776
59,0.4837369684791565,0.83276,0.6312091451644898,0.7849
60,0.4776908951759338,0.83422,0.6420998675823212,0.7839
61,0.4652144834899902,0.84026,0.6161319718360901,0.7937
62,0.4748008334350586,0.83662,0.6101656447410584,0.7991
63,0.47614543478012084,0.83532,0.6631849523544312,0.7797
64,0.4708550695037842,0.83758,0.6018795110702515,0.796
65,0.4844137738037109,0.83182,0.6442178178787231,0.7851
66,0.47278504486083983,0.83776,0.6615829461574555,0.7758
67,0.4699478635215759,0.83618,0.6185706749439239,0.7925
68,0.4611618731307983,0.8416,0.6611427600383759,0.7793
69,0.47525843591690065,0.8374,0.6900563287734985,0.7693
70,0.46404861481666565,0.84012,0.6289299095153809,0.7871
71,0.4748388491153717,0.83634,0.6797425738334656,0.7728
72,0.47066710803985595,0.83786,0.6134130072116852,0.7926
73,0.4658461390686035,0.83914,0.6072460254192352,0.7986
74,0.48513934012413024,0.8345,0.6371233417034149,0.7862
75,0.46296830574035647,0.84054,0.6305910387992859,0.7911
76,0.4718328548812866,0.83808,0.6328497653484344,0.7928
77,0.4656636069869995,0.83892,0.6397196898937225,0.7884
78,0.4716588171195984,0.83788,0.6650376285552978,0.7753
79,0.4623531002140045,0.84174,0.6836584177970886,0.7762
80,0.45518984060287476,0.84238,0.6430667931079864,0.7889
81,0.47287295511245725,0.8378,0.6451603688240052,0.7823
82,0.45988781734466555,0.84088,0.6246109317779541,0.7889
83,0.45616886640548704,0.84306,0.6594294850826263,0.7696
84,0.46424413709640505,0.83958,0.7181701083183288,0.7565
85,0.4600113224029541,0.84138,0.6098620726585389,0.797
86,0.45938247774124147,0.841,0.630245850944519,0.7891
87,0.46050882560729983,0.8407,0.6999820384025573,0.7621
88,0.46416912717819214,0.83874,0.6931411993026734,0.7658
89,0.46295492331504823,0.84076,0.6083885534524918,0.7928
90,0.46545836508750915,0.8396,0.7137768966197967,0.7589
91,0.4601888921546936,0.84188,0.6382905754566193,0.7839
92,0.46446790133476257,0.8403,0.6714701760768891,0.7715
93,0.46286760454177855,0.8399,0.6856108254432678,0.7673
94,0.46076860883712767,0.84152,0.6352660528182983,0.7876
95,0.4597661673736572,0.84086,0.6837060723781586,0.7664
96,0.4541327100086212,0.84402,0.6656939727783203,0.7775
97,0.4553590699577332,0.84332,0.6399876804828644,0.7888
98,0.442190732831955,0.84698,0.6553570807933807,0.7785
99,0.4584164591503143,0.84144,0.5985390006065369,0.7941
100,0.4578207271671295,0.8411,0.6303786205291748,0.7872
